Step Population Tecnology ResourceFoodProductivity FoodProduction FoodRate
86 15 0.0 0.016249716162498398 25.0 1.6666666666666667
87 17 0.0 0.016249716162498398 25.0 1.6666666666666667
88 19 0.0 0.02097234361261573 25.0 1.4705882352941178
89 19 0.0 0.02097234361261573 25.0 1.3157894736842106
90 21 0.0 0.02097234361261573 25.0 1.3157894736842106
91 21 0.0 0.02097234361261573 37.5 1.7857142857142858
92 23 0.0 0.02097234361261573 37.5 1.7857142857142858
93 25 0.0 0.02097234361261573 37.5 1.6304347826086956
94 25 0.0 0.02097234361261573 37.5 1.5
95 25 0.0 0.02097234361261573 37.5 1.5
96 25 0.0 0.01859091212109917 37.5 1.5
97 25 0.0 0.016135631888303505 37.5 1.5
98 25 0.0 0.016135631888303505 37.5 1.5
99 25 0.0 0.016135631888303505 37.5 1.5
100 25 0.0 0.016135631888303505 37.5 1.5
